id,author_id,title,permalink,publish_date,primary_category_id,number_pages,publish_date_val
414164,1232,20 Most Memorable Quotes From Steve Jobs,20-most-memorable-quotes-from-steve-jobs,10/28/15 13:06,NULL,20,42305.5461
414227,79,5 Warren Buffett Approved Dividend Stocks,5-dividend-stocks-approved-by-warren-buffett,10/13/15 7:46,45376,6,42290.32363
415574,1333,The 10 Least Expensive States to Live in the U.S.,the-8-least-expensive-states-to-live-in-the-u-s,9/11/15 10:46,448,11,42258.44867
415891,1232,15 Warren Buffett Quotes for a Scary Stock Market,warren-buffetts-15-most-memorable-quotes,1/15/16 14:31,45376,15,42384.60486
424993,1233,8 Top Grossing Football Movies of All Time,cant-wait-for-the-nfl-here-are-8-top-football-films,11/19/15 18:31,968,8,42327.77153
425423,1233,7 Batman Movies That Should Have Been Made Before 'Batman v Superman',7-batman-films-that-didnt-make-the-cut,8/21/15 8:50,13856,7,42237.36808
425702,1177,"9 Perfect Small SUVs to Buy Under $25,000",9-perfect-small-suvs-to-buy-under-25000,9/16/15 15:00,23977,10,42263.625
426094,1177,8 Awesome Discontinued Cars That We Want Back,8-awesome-discontinued-cars-that-we-want-back,10/29/15 15:01,NULL,9,42306.62571
430984,1400,10 Cars to Avoid at All Costs,6-automobiles-that-define-poor-value,10/27/15 16:30,23977,11,42304.6875
432335,1233,5 Crazy Movies That Almost Got Made,5-crazy-movies-that-almost-made-it-to-the-big-screen,1/28/16 12:00,13856,5,42397.5
434509,1233,The 5 Best Stephen King Film Adaptations,the-5-best-stephen-king-film-adaptations,9/21/15 10:30,13856,6,42268.4375
436259,1280,NFL's Oldest: 7 Quarterbacks Who Played into Their 40s,7-oldest-nfl-quarterbacks-of-all-time,9/30/15 13:00,968,8,42277.54167
436471,1233,10 Best Horror Films of All Time,top-10-horror-films-for-halloween-spooks,10/29/15 8:45,13856,10,42306.36458
439603,1116,NFL: 10 Players With the Most Touchdowns in One Season,10-quarterbacks-with-most-touchdowns-peyton-manning-watch,8/26/15 16:03,968,11,42242.66877
440970,1273,NFL: 10 Most Watched Monday Night Football Games of All Time,the-10-highest-rated-monday-night-nfl-games-of-all-time,9/14/15 18:52,968,4,42261.78611
441380,1273,9 Shortest NBA Point Guards of All Time,9-shortest-nba-point-guards-of-all-time,2/4/16 18:00,NULL,4,42404.75
441675,79,Traditional IRA vs Roth IRA: What’s the Difference?,traditional-ira-vs-roth-ira-whats-the-difference,1/26/16 9:51,45376,2,42395.41042
441843,1233,10 Movie Remakes That Are Much Better Than the Originals,10-movie-remakes-that-are-much-better-than-the-original,1/13/16 14:25,13856,10,42382.60069
442203,1233,The 10 Worst Movie Remakes of All Time,the-10-worst-movie-remakes-of-all-time,12/19/15 11:00,13856,10,42357.45833
442532,1177,8 Glimpses From Corvette’s Journey Through History,8-glimpses-from-corvettes-journey-through-history,10/20/15 16:32,NULL,9,42297.68902
442828,1233,7 Coen Brothers Movies Critics Loved: Have You Seen Them?,7-coen-brothers-films-that-critics-agree-are-tops,2/5/16 8:30,13856,7,42405.35417
443278,1288,6 Holiday Movies to Watch Before Christmas,6-holiday-movies-to-watch-before-christmas,12/24/15 6:30,13856,2,42362.27083
